print          打印          将字符串显示出来 
#              注释          对代码进行解释说明
+              加号          加号
-              减号          减号
*              星号          乘法
/              斜杠          除法
%              百分号        求余数
<              小于号        小于号
>              大于号        大于号
<=             小于等于号    小于等于号
>=             大于等于号    大于等于号
=              等号          将右边的值赋给左边
==             等号          等于
variable       变量          用来指代某个东西的名字， 
%s             格式化字符串  格式化一个对象为字符     
%d             整数          格式化一个对象为整数 
%r             原始数据      用来debug更好 
\n             换行符
\\             特殊转义序列  将“\”放在字符串中打印出来
"""            三引号        可以在一组三引号之间放入任意多行的文字
raw_input()    输入          通过读取控制台的输入与用户实现交互
import         导入          将python的功能引入到脚本的方法
argv           参数变量      这个变量包含了传递给python的参数
open           打开          打开文件
read           读取          读取文件内容
close          关闭          关闭文件
readline       读取一行      读取文本文件一行
truncate       清空文件      清空文件
write          写入          写入到文件
exists（）     存在          将文件名字符串作为参数，如果文件存在，返回True,否则返回False
def            定义函数          
function()     函数          1、给代码片段命名 2、接受参数 3、可以创建“微型脚本”或“小命令”
seek(0)                      转到文件的0byte
return         返回          用在函数里，返回函数的值
